definition1,sensekey1,relation,sensekey2,definition2
leave someone who needs or counts on you; leave in the lurch,abandon%2:31:00::,event,abandonment%1:04:01::,withdrawing support or help despite allegiance or responsibility
stop maintaining or insisting on; of ideas or claims,abandon%2:31:01::,event,abandonment%1:04:03::,the act of giving something up
"forsake, leave behind",abandon%2:40:00::,event,abandonment%1:04:02::,the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away
give up with the intent of never claiming again,abandon%2:40:01::,event,abandonment%1:04:03::,the act of giving something up
cause to feel shame; hurt the pride of,abase%2:37:00::,state,abasement%1:04:00::,depriving one of self-esteem
cause to be embarrassed; cause to feel self-conscious,abash%2:37:00::,state,abashment%1:12:00::,feeling embarrassed due to modesty
become less in amount or intensity,abate%2:30:00::,event,abatement%1:11:01::,an interruption in the intensity or amount of something
shorten,abbreviate%2:30:00::,result,abbreviation%1:10:00::,a shortened form of a word or phrase
shorten,abbreviate%2:30:00::,agent,abbreviator%1:18:00::,one who shortens or abridges or condenses a written work
reduce in scope while retaining essential elements,abbreviate%2:30:01::,agent,abbreviator%1:18:00::,one who shortens or abridges or condenses a written work
"give up, such as power, as of monarchs and emperors, or duties and obligations",abdicate%2:41:00::,event,abdication%1:10:00::,a formal resignation and renunciation of powers
"give up, such as power, as of monarchs and emperors, or duties and obligations",abdicate%2:41:00::,event,abdication%1:10:01::,the act of abdicating
"give up, such as power, as of monarchs and emperors, or duties and obligations",abdicate%2:41:00::,agent,abdicator%1:18:00::,one who formally relinquishes an office or responsibility
pull away from the body,abduct%2:35:00::,event,abduction%1:04:01::,(physiology) moving of a body part away from the central axis of the body
take away to an undisclosed location against their will and usually in order to extract a ransom,abduct%2:35:02::,event,abduction%1:04:00::,the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife
take away to an undisclosed location against their will and usually in order to extract a ransom,abduct%2:35:02::,agent,abductor%1:18:00::,someone who unlawfully seizes and detains a victim (usually for ransom)
diverge or deviate from the straight path; produce aberration,aberrate%2:42:00::,event,aberrance%1:26:00::,a state or condition markedly different from the norm
diverge or deviate from the straight path; produce aberration,aberrate%2:42:00::,event,aberration%1:19:00::,an optical phenomenon resulting from the failure of a lens or mirror to produce a good image
diverge or deviate from the straight path; produce aberration,aberrate%2:42:00::,state,aberration%1:26:01::,a state or condition markedly different from the norm
diverge from the expected,aberrate%2:42:01::,event,aberrance%1:26:00::,a state or condition markedly different from the norm
diverge from the expected,aberrate%2:42:01::,state,aberration%1:26:01::,a state or condition markedly different from the norm
"assist or encourage, usually in some wrongdoing",abet%2:41:00::,event,abetment%1:10:00::,the verbal act of urging on
"assist or encourage, usually in some wrongdoing",abet%2:41:00::,agent,abetter%1:18:00::,one who helps or encourages or incites another
"assist or encourage, usually in some wrongdoing",abet%2:41:00::,agent,abettor%1:18:00::,one who helps or encourages or incites another
find repugnant,abhor%2:37:00::,state,abhorrence%1:12:00::,hate coupled with disgust
put up with something or somebody unpleasant,abide%2:31:00::,event,abidance%1:04:00::,the act of abiding (enduring without yielding)
dwell,abide%2:42:01::,event,abidance%1:04:01::,the act of dwelling in a place
"formally reject or disavow a formerly held belief, usually under pressure",abjure%2:32:00::,event,abjuration%1:10:00::,a disavowal or taking back of a previous assertion
wear away through erosion or vaporization,ablate%2:30:00::,event,ablation%1:22:00::,the erosive process that reduces the size of glaciers
remove an organ or bodily structure,ablate%2:30:10::,event,ablation%1:04:00::,surgical removal of a body part or tissue
deny or renounce,abnegate%2:32:00::,event,abnegation%1:10:00::,the denial and rejection of a doctrine or belief
deny or renounce,abnegate%2:32:00::,agent,abnegator%1:18:00::,one who gives up or relinquishes or renounces something
surrender (power or a position),abnegate%2:33:00::,agent,abnegator%1:18:00::,one who gives up or relinquishes or renounces something
"deny oneself (something); restrain, especially from indulging in some pleasure",abnegate%2:40:00::,event,abnegation%1:04:00::,renunciation of your own interests in favor of the interests of others
do away with,abolish%2:41:00::,event,abolishment%1:04:00::,the act of abolishing a system or practice or institution (especially abolishing slavery)
do away with,abolish%2:41:00::,event,abolition%1:04:00::,the act of abolishing a system or practice or institution (especially abolishing slavery)
find repugnant,abominate%2:37:00::,event,abomination%1:04:00::,an action that is vicious or vile; an action that arouses disgust or abhorrence
find repugnant,abominate%2:37:00::,result,abomination%1:12:00::,hate coupled with disgust
find repugnant,abominate%2:37:00::,undergoer,abomination%1:18:00::,a person who is loathsome or disgusting
find repugnant,abominate%2:37:00::,agent,abominator%1:18:00::,one who hates or loathes
terminate a pregnancy by undergoing an abortion,abort%2:29:00::,event,abortion%1:04:00::,termination of pregnancy
terminate before completion,abort%2:30:00::,event,abortion%1:11:00::,failure of a plan
be abundant or plentiful; exist in large quantities,abound%2:42:00::,property,abundance%1:07:00::,the property of a more than adequate quantity or supply
change one's mind and assume the opposite viewpoint,about-face%2:31:00::,event,about-face%1:04:01::,a major change in attitude or principle or point of view
"turn, usually 180 degrees",about-face%2:38:00::,event,about-face%1:04:02::,"act of pivoting 180 degrees, especially in a military formation"
wear away,abrade%2:35:00::,agent,abrader%1:06:00::,a tool or machine used for wearing down or smoothing or polishing
wear away,abrade%2:35:00::,event,abrasion%1:19:00::,the wearing down of rock particles by friction due to water or wind or ice
wear away,abrade%2:35:00::,event,abrasion%1:22:00::,erosion by friction
wear away,abrade%2:35:00::,location,abrasion%1:26:00::,an abraded area where the skin is torn or worn off
rub hard or scrub,abrade%2:35:01::,agent,abrader%1:06:00::,a tool or machine used for wearing down or smoothing or polishing
discharge bad feelings or tension through verbalization,abreact%2:37:00::,event,abreaction%1:04:00::,(psychoanalysis) purging of emotional tensions
reduce in scope while retaining essential elements,abridge%2:30:00::,result,abridgement%1:10:00::,a shortened version of a written work
reduce in scope while retaining essential elements,abridge%2:30:00::,agent,abridger%1:18:00::,one who shortens or abridges or condenses a written work
revoke formally,abrogate%2:41:00::,event,abrogation%1:04:00::,the act of abrogating; an official or legal cancellation
revoke formally,abrogate%2:41:00::,agent,abrogator%1:18:00::,an authority or official empowered to abolish or annul or repeal
remove or separate by abscission,abscise%2:35:00::,event,abscission%1:04:00::,the act of cutting something off
run away; usually includes taking something or somebody along,abscond%2:38:00::,agent,absconder%1:18:00::,a fugitive who runs away and hides to avoid arrest or prosecution
run away; usually includes taking something or somebody along,abscond%2:38:00::,event,abscondment%1:04:00::,the act of running away secretly (as to avoid arrest)
stay away or leave,absent%2:30:00::,event,absence%1:04:00::,failure to be present
stay away or leave,absent%2:30:00::,agent,absentee%1:18:00::,one that is absent or not in residence
grant remission of a sin to,absolve%2:32:02::,event,absolution%1:04:00::,the act of absolving or remitting; formal redemption as pronounced by a priest in the sacrament of penance
grant remission of a sin to,absolve%2:32:02::,state,absolution%1:26:00::,the condition of being formally forgiven by a priest in the sacrament of penance
grant remission of a sin to,absolve%2:32:02::,agent,absolver%1:18:00::,someone who grants absolution
take up mentally,absorb%2:31:00::,event,absorption%1:22:03::,the social process of absorbing one cultural group into harmony with another
consume all of one's attention or time,absorb%2:31:03::,state,absorption%1:09:00::,the mental state of being preoccupied by something
devote (oneself) fully to,absorb%2:31:06::,result,absorption%1:09:01::,complete attention; intense mental effort
"take in, also metaphorically",absorb%2:35:00::,agent,absorber%1:27:00::,(physics) material in a nuclear reactor that absorbs radiation
"take in, also metaphorically",absorb%2:35:00::,event,absorption%1:22:00::,(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid
become imbued,absorb%2:35:01::,agent,absorber%1:27:00::,(physics) material in a nuclear reactor that absorbs radiation
become imbued,absorb%2:35:01::,event,absorption%1:22:00::,(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid
suck or take up or in,absorb%2:43:00::,event,absorption%1:22:02::,(physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium
choose not to consume,abstain%2:34:00::,agent,abstainer%1:18:00::,a person who refrains from drinking intoxicating beverages
choose not to consume,abstain%2:34:00::,agent,abstainer%1:18:01::,someone who practices self denial as a spiritual discipline
choose not to consume,abstain%2:34:00::,property,abstention%1:07:00::,the trait of abstaining (especially from alcohol)
